customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1492-RRR1,Female,1,No,No,34,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,67.35,4954.71,No
1492-RRR2,Female,1,Yes,Yes,40,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (auto),23.84,4317.73,No
1492-RRR3,Female,1,Yes,No,46,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (auto),94.68,4360.01,No
1492-RRR4,Male,1,No,Yes,68,Yes,No,No,No,No,No,No,Yes,No,One year,No,Electronic check,78.11,2167.14,No
1492-RRR5,Female,0,No,No,36,Yes,Yes,No,Yes,No,Yes,Yes,No,No,One year,No,Credit card (auto),116.77,2043.52,No
1492-RRR6,Female,0,No,No,66,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (auto),74.27,3049.05,No
1492-RRR7,Male,1,Yes,No,37,No,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,106.69,1736.04,No
1492-RRR8,Male,1,Yes,Yes,27,No,No phone service,No,Yes,No,Yes,Yes,No,Yes,Two year,No,Electronic check,52.55,1737.17,No
1492-RRR9,Male,1,Yes,No,69,No,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,40.69,2433,No
1492-RRR10,Female,0,Yes,No,12,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,29.4,1194.67,No
1492-RRR11,Male,1,Yes,No,70,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (auto),92.59,1795.74,No
1492-RRR12,Male,0,Yes,Yes,11,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (auto),75.14,217.52,No
1492-RRR13,Male,0,No,No,44,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,71.34,4746.37,No
